L(T-168),L(T)
7070.7168,7543.96848
6771.73896,6745.39524
6204.64752,6813.35892
6144.7896,5555.5632
6178.45968,5471.07624
6018.5268,5384.0952
5932.7928,5571.46296
5812.7652,5190.804
6320.62224,6995.8944
7509.98664,7647.4728
7929.30384,8196.1704
8325.5508,7943.6448
8384.7852,7908.72768
7373.124,7594.4736
6618.6648,7646.84928
5900.99328,5988.9096
5604.19776,5636.6208
5349.8016,5390.01864
6652.9584,5231.48868
5255.02656,5460.4764
5412.1536,5566.16304
5949.9396,5727.18708
7187.15916,6332.78088
7883.78688,6498.6372
7136.1864,6841.5732
6618.6648,6772.986
6721.5456,6481.4904
6678.83448,6464.3436
6337.61316,6252.65856
6532.9308,6218.67672
6635.8116,5997.79476
6436.59696,6048.76752
5156.19864,6048.76752
8083.31328,7574.2092
8599.43196,8049.79908
8599.43196,8208.32904
8339.89176,7996.95576
7943.6448,7627.05252
7450.90812,6781.5594
6605.415,5830.37964
5704.27272,5597.6508
5544.33984,5491.02888
5633.19144,5366.63664
5671.84968,5548.5486
5830.37964,5795.15076
6411.65616,6430.05
7734.14208,7407.4176
5250.19428,7218.8028
6550.0776,6550.0776
6635.8116,5264.0676
6824.4264,4504.30848
6824.4264,6094.908
6601.518,6148.6866
5881.3524,5115.35808
6567.2244,3613.92192
6378.6096,5516.90496
6575.0184,5289.94368
7526.6658,8461.01052
7818.9408,8744.868
8080.35156,8754.37668
7907.32476,7803.97632
7577.01504,8153.14752
7192.92672,7070.7168
6756.46272,6127.95456
6250.16448,5377.23648
5900.8374,5255.02656
5830.37964,5377.23648
5900.8374,5412.1536
5971.29516,5464.52928
6059.36736,6127.95456
7578.8856,7454.80512
7098.7752,7051.2318
5892.264,6313.14
6490.53144,6481.4904
6456.5496,5386.12164
5369.13072,5332.6548
5131.25784,5212.6272
5058.306,3466.14768
5058.306,5182.2306
6354.60408,6835.02624
6966.2772,7733.2068
7781.84136,8841.66948
8518.53024,8807.06412
8501.6952,8484.86016
8325.5508,8135.68896
7665.08724,7158.0096
7227.84384,6337.45728
6808.8384,5883.53472
6217.89732,5569.28064
5813.70048,5481.98784
5513.31972,5691.49056
5460.4764,5918.45184
5654.23524,6581.87712
6446.88504,4451.9328
7315.13664,7509.98664
7646.84928,6851.86128
6762.38616,6801.35616
6728.40432,6847.34076
6558.49512,6830.34984
5229.774,6694.42248
5058.306,6252.65856
5125.80204,6286.6404
5104.2906,5199.22152
4259.88864,6414.15024
3581.65476,7441.7112
4818.2508,7070.7168
3532.2408,8131.32432
8573.4,7922.601
8053.69608,7492.99572
7664.6196,7098.7752
6995.8944,6263.57016
6481.4904,5761.3248
6110.496,5778.78336
5796.24192,5601.39192
5516.90496,5478.09084
5401.242,5272.48512
5572.71,5394.69504
6344.316,5831.15904
7525.26288,6796.368
7323.2424,7187.15916
8053.69608,6966.2772
8087.67792,6721.5456
5165.23968,6490.53144
5281.2144,6601.518
5161.1868,5486.976
5377.23648,6490.53144
5255.02656,5727.0312
5324.8608,6490.53144
7197.91488,6439.55868
8357.19444,7508.42784
8668.64268,8198.66448
8607.6936,8189.62344
8281.9044,8230.464
7595.87652,7870.3812
7221.9204,7509.36312
6482.11392,6523.11036
5953.36896,5953.36896
5761.3248,5671.84968
5830.37964,5548.5486
5615.42112,5671.84968
5830.37964,5848.6176
6162.87168,6459.6672
7028.16156,6826.29696
7227.84384,6878.67264
6961.6008,6581.87712
6910.1604,5657.97636
8325.5508,6507.52236
6813.35892,6354.60408
8401.932,6388.58592
8487.666,6014.78568
8487.666,6116.7312
6550.0776,6031.7766
6473.54052,6099.74028
6515.784,7340.07744
8436.2256,7917.76872
8547.52392,8019.71424
7976.53548,7815.8232
8624.52864,6711.4134
7210.38528,6371.595
6826.29696,6550.0776
6197.7888,5984.2332
5936.06628,5761.79244
5846.43528,5675.27904
6023.2032,5656.57344
5988.59784,5604.19776
6459.6672,5915.646
7769.0592,7390.2708
7645.914,7071.96384
7543.96848,6538.23072
6745.39524,6464.65536
6813.35892,6767.68608
5555.5632,5471.388
5471.07624,5709.8844
5384.0952,5536.8576
5571.46296,5536.8576
5190.804,5069.68524
6995.8944,4913.96112
7647.4728,7098.7752
8196.1704,8213.3172
7943.6448,8299.0512
7908.72768,8058.996
7594.4736,7716.06
7646.84928,6652.9584
5988.9096,6207.1416
5636.6208,5847.99408
5390.01864,5425.24752
5231.48868,5337.17532
5460.4764,5390.01864
5566.16304,5583.77748
5727.18708,6180.33024
6332.78088,6292.8756
6498.6372,6575.48604
6841.5732,6633.00576
6772.986,6750.85104
6481.4904,6565.6656
6464.3436,6252.65856
6252.65856,6150.71304
6218.67672,6065.75844
5997.79476,6133.72212
6048.76752,6031.7766
6048.76752,5369.13072
7574.2092,7102.20456
8049.79908,7201.656
8208.32904,7510.2984
7996.95576,8054.4304
7627.05252,5028.06528
6781.5594,6686.62848
5830.37964,6005.74464
5597.6508,5534.36352
5491.02888,5301.94644
5366.63664,5178.64536
5548.5486,5301.94644
5795.15076,5513.31972
6430.05,5597.6508
7407.4176,6656.8554
7218.8028,6279.46992
6550.0776,6060.6144
5264.0676,6581.87712
4504.30848,6507.2106
6094.908,6614.7678
6148.6866,6632.694
5115.35808,6184.07136
3613.92192,6075.57888
5516.90496,5967.0864
5289.94368,6127.95456
8461.01052,7441.08768
8744.868,8115.8922
8754.37668,7390.2708
7803.97632,6546.96
8153.14752,6677.43156
7070.7168,6422.56776
6127.95456,5518.152
5377.23648,5534.36352
5255.02656,5220.10944
5377.23648,4905.85536
5412.1536,4958.23104
5464.52928,5150.2752
6127.95456,5335.14888
7454.80512,6116.7312
7051.2318,5854.38516
6313.14,6320.62224
6481.4904,6422.56776
5386.12164,5161.1868
5332.6548,5246.9208
5212.6272,6241.4352
3466.14768,5831.00316
5182.2306,5658.444
6835.02624,5692.7376
7733.2068,5812.7652
8841.66948,6500.81952
8807.06412,7442.02296
8484.86016,7353.639
8135.68896,6972.98004
7158.0096,6540.41304
6337.45728,5656.57344
5883.53472,5743.86624
5569.28064,4870.93824
5481.98784,4731.26976
5691.49056,4597.36884
5918.45184,4456.45332
6581.87712,4791.12768
4451.9328,5178.64536
7509.98664,5827.88556
6851.86128,5199.22152
6801.35616,6439.55868
6847.34076,6550.0776
6830.34984,6430.05
6694.42248,6371.595
6252.65856,6235.66764
6286.6404,5847.0588
5199.22152,5607.0036
6414.15024,5589.8568
7441.7112,5761.3248
7070.7168,7201.656
8131.32432,7102.20456
7922.601,7287.39
7492.99572,7232.52024
7098.7752,6567.2244
6263.57016,5952.12192
5761.3248,5363.8308
5778.78336,5324.8608
5601.39192,4967.27208
5478.09084,4932.0432
5272.48512,4797.9864
5394.69504,5011.23024
5831.15904,5294.62008
6796.368,5935.9104
7187.15916,6378.6096
6966.2772,6395.7564
6721.5456,5287.4496
6490.53144,5832.71784
6601.518,5270.61456
5486.976,5097.276
6490.53144,7630.48188
5727.0312,7153.17732
6490.53144,6626.4588
6439.55868,7493.1516
7508.42784,7047.3348
8198.66448,6073.24068
8189.62344,5727.18708
8230.464,5484.94956
7870.3812,5412.1536
7509.36312,5307.40224
6523.11036,5255.02656
5953.36896,5272.48512
5671.84968,5246.9208
5548.5486,5437.0944
5671.84968,5673.40848
5848.6176,5687.59356
6459.6672,5821.02684
6826.29696,5799.67128
6878.67264,5606.06832
6581.87712,5808.0888
5657.97636,5454.55296
6507.52236,5454.08532
6354.60408,5415.73884
6388.58592,5571.46296
6014.78568,6505.80768
6116.7312,6881.3226
6031.7766,7102.20456
6099.74028,7013.0412
7340.07744,6841.5732
7917.76872,6310.0224
8019.71424,5589.8568
7815.8232,5315.508
6711.4134,5156.19864
6371.595,4923.31392
6550.0776,5150.2752
5984.2332,5132.81664
5761.79244,5303.0376
5675.27904,6077.44944
5656.57344,5959.60416
5604.19776,6021.17676
5915.646,5954.46012
7390.2708,5148.24876
7071.96384,5301.16704
6538.23072,5301.16704
6464.65536,4585.2102
6767.68608,4886.838
5471.388,4818.2508
5709.8844,4886.838
5536.8576,7000.25904
5536.8576,7204.15008
5069.68524,7081.6284
4913.96112,7102.20456
7098.7752,7051.2318
8213.3172,5878.85832
8299.0512,5335.14888
8058.996,5394.69504
7716.06,5185.19232
6652.9584,4983.17184
6207.1416,4152.6432
5847.99408,4663.9296
5425.24752,4848.49152
5337.17532,5824.92384
5390.01864,6048.76752
5583.77748,6207.1416
6180.33024,5551.82208
6292.8756,5980.80384
6575.48604,5720.95188
6633.00576,5622.90336
6750.85104,5707.07856
6565.6656,5929.83108
6252.65856,5810.89464
6150.71304,6224.2884
6065.75844,5932.7928
6133.72212,7218.8028
6031.7766,6765.34788
5369.13072,6869.16396
7102.20456,6350.08356
7201.656,6021.33264
7510.2984,5604.19776
8054.4304,5429.61216
5028.06528,5202.65088
6686.62848,4896.81432
6005.74464,4703.05548
5534.36352,4888.3968
5301.94644,5366.9484
5178.64536,5946.822
5301.94644,6087.114
5513.31972,6177.05676
5597.6508,5946.822
6656.8554,5774.41872
6279.46992,5131.25784
6060.6144,4989.7188
6581.87712,5115.35808
6507.2106,5234.4504
